第二组,教师的教学评分,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,肢体语言运用合理恰当 5,4,5,5,5,5,5,5,4,4,5
,教态仪表自然得体，亲和力强 4,3,4,4,4,4,4,4,3,4,4
教学特色/整体评价  10,,9,10,10,10,10,10,10,9,8,10
,,,,,,,,,,,
,,,,,,,,,,,
教师50,,专家11号,专家12号,专家13号,专家14号,专家15号,专家16号,专家17号,专家18号,专家19号,专家20号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,8,7,8,7,8,8,8,8,8,8
,理论联系实际，符合学生特点 10,10,10,9,10,9,10,10,10,10,10
,注重学术性与专业思想，内容充实 15,12,14,14,15,13,13,14,14,14,13
,重点突出，条理清楚，循序渐进 7,6,6,6,7,6,6,6,6,6,6
,反映新思想、新概念、新成果 5,4,5,5,5,4,4,4,4,4,4
教学组织  30,教学过程与时间安排合理 10,8,9,10,10,8,10,10,10,10,10
,教学设计完整，启发性强 12,10,10,12,12,10,10,11,12,12,10
,现代教学手段，板书设计 8,6,7,7,8,6,7,8,7,8,7
语言教态  15,普通话讲课，语言清晰流畅 6,5,4,6,6,5,6,6,6,6,6
,肢体语言运用合理恰当 5,5,4,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,3,3,4,4,3,4,4,4,4,4
教学特色/整体评价  10,,9,10,10,10,9,10,10,10,9,10
