第一组,教师的教学评分,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,肢体语言运用合理恰当 5,5,5,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,3,4,4,4,4,4
教学特色/整体评价  10,,9,9,9,8,9,9,8,7,8,8
,,,,,,,,,,,
,,,,,,,,,,,
教师50,,专家1号,专家2号,专家3号,专家4号,专家5号,专家6号,专家7号,专家8号,专家9号,专家10号
,,分数,分数,分数,分数,分数,分数,分数,分数,分数,分数
教学内容45,课程思政融入教学内容 8,6,7,6,6,6,7,6,8,8,8
,理论联系实际，符合学生特点 10,10,9,10,10,10,10,10,10,10,10
,注重学术性与专业思想，内容充实 15,12,13,13,11,14,13,11,13,15,14
,重点突出，条理清楚，循序渐进 7,7,7,7,7,7,7,7,7,6,6
,反映新思想、新概念、新成果 5,4,4,4,4,4,4,4,4,3,3
教学组织  30,教学过程与时间安排合理 10,9,9,9,9,9,9,9,10,9,9
,教学设计完整，启发性强 12,12,10,12,12,12,12,11,12,10,10
,现代教学手段，板书设计 8,7,8,7,7,7,7,7,7,8,8
语言教态  15,普通话讲课，语言清晰流畅 6,6,5,6,6,6,5,6,6,6,6
,肢体语言运用合理恰当 5,5,5,5,5,5,5,5,5,5,5
,教态仪表自然得体，亲和力强 4,4,4,4,4,3,4,4,4,4,3
教学特色/整体评价  10,,9,8,9,9,8,9,9,9,8,7
