population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
337.72 万（2024年末常住人口）,24111 km²[6],1661.36 亿元（2024年）,自治州,恩施许家坪机场[139],恩施站、利川站、建始站、巴东站、咸丰站、来凤站、高坪站等[2],亚热带季风性山地湿润气候[67],恩施大峡谷、腾龙洞景区、神农溪等[55-57],恩施土家族苗族自治州
1061.65 万（2024年常住人口）,11819 km²[19]（总面积）,15268.78 亿元（2024年）,地级市[127],长沙黄花国际机场[54],长沙站、长沙南站、长沙西站[128],,岳麓山[85]、橘子洲[85]、世界之窗[85]、湖南博物院[85],长沙市
383.78 万（2024年末常住人口）,11200 km²,3902.45 亿元（2024年）,地级市,株洲芦淞机场,株洲站、株洲西站、株洲北站、株洲南站,亚热带季风性湿润气候,炎帝陵、桃源洞、云阳山、酒埠江、神农城、方特欢乐世界、酃峰,株洲市
269.18 万[112]（2024年末常住人口）,5006 km²,2957.06 亿元[111]（2024年）,地级市,路程仅需1个小时,湘潭站、湘潭北站、韶山南站、湘乡站等,亚热带季风性湿润气候,韶山、昭山城市海景水上乐园、白石公园、昭山、水府庙、万楼·青年码头[97],湘潭市
643.43 万（2024年末常住人口）,15310 km²,4491.69 亿元（2024年）,地级市,衡阳南岳机场、衡阳大浦通用机场,衡阳站、衡阳东站、衡山站、衡山西站、耒阳站、耒阳西站、祁东站、西渡站,亚热带季风气候,衡山、石鼓书院、蔡伦竹海、宝莲洞花卉基地、福益亭、江口鸟洲、洋泉水库、天堂山、杳湖山[113]、四明山[114]、东洲岛景区[94]、南岳里[115]、保卫里文化创意街区[116]、湘见·建湘工业文化街区[117]、衡阳市文化艺术中心[118]、“雁城之星”摩天轮[119],衡阳市
630.0 万（2024年底常住人口）,20824 km²[5],2926.3 亿元（2024年）,地级市,邵阳武冈机场、邵阳邵东机场,邵阳站、邵阳北站、邵阳西站,亚热带季风性湿润气候,崀山、南山牧场、虎形山、云山、白水洞、黄桑生态旅游区[35],邵阳市
498.75 万（2024年末常住人口）,14858 km²,5127.66 亿元（2024年）,地级市,岳阳三荷机场、平江安定机场,岳阳站、岳阳东站等,亚热带季风气候,岳阳楼、君山岛、张谷英村、屈子祠、汨罗江、石牛寨,岳阳市
516.9 万（2024年常住人口）,18200 km²,4532.7 亿元（2024年）,地级市,常德桃花源机场,常德站、石门县北站等,亚热带湿润季风气候,桃花源、柳叶湖、夹山寺、壶瓶山、诗墙、清水湖旅游度假区、澧县城头山旅游景区、彭山景区、湖南涔槐国家湿地公园、花岩溪、太浮山,常德市
148.69 万[90]（2024年）,9533 km²,613.9 亿元[82]（2023年）,地级市,张家界荷花国际机场,张家界站、张家界西站等,中亚热带山原型季风性湿润气候,张家界国家森林公园、天门山、黄龙洞、宝峰湖,张家界市
373.52 万（2024年末常住人口）,12320 km²,2268.18 亿元（2024年）,地级市,、,益阳站，安化站、益阳南站,亚热带季风性湿润气候,湖南琼湖国家湿地公园、桃花江、茶马古道、茶乡花海,益阳市
457.78 万（2024年常住人口）,19341.66 km²[2]（截止2023年2月）,3327.8 亿元[153]（2024年）,地级市[42],郴州北湖机场[30],郴州站、郴州西站等[49-50],中亚热带季风性湿润气候[21],湖南九龙江国家森林公园[51]（国家4A级旅游景区）、飞天山国家地质公园[47]（国家4A级景区）、东江湖[48]、湖南宝山国家矿山公园[52]（国家4A级景区）、安仁稻田公园[53]（国家4A级景区）,郴州市
501.85 万（2024年末常住人口）,22400 km²,2692.57 亿元（2024年）,地级市,永州零陵机场,永州站、零陵站、东安站、东安东站、道州站、祁阳站等,亚热带季风气候,永州八景、永州市桐子坳景区、永州市零陵东山景区、九嶷山、阳明山、舜皇山,永州市
441.59 万（2024年末常住人口）,27572.54 km²,2093.82 亿元（2024年）,地级市,怀化芷江机场,怀化站、怀化南站,亚热带季风性湿润气候,怀化古村、芷江受降纪念坊、洪江古商城、黔阳古城、安江农校纪念园、通道转兵纪念馆、粟裕同志纪念馆、沅陵二酉山,怀化市
372.77 万（2024年末常住人口）,8117.6 km²,2131.63 亿元（2024年）,地级市,娄底春田机场、娄底桥头河机场[46],娄底站、娄底南站、娄底西站、双峰北站等,亚热带季风气候,湄江国家地质公园、梅山龙宫、紫鹊界梯田、曾国藩故居、波月洞、三联峒,娄底市
239.2 万（截至2024年末常住人口）,15500 km²[3],855.95 亿元（2024年）,自治州[2],湘西边城机场、铜仁凤凰机场,吉首站、吉首东站、凤凰古城站、芙蓉镇站、龙山北站、古丈西站,亚热带季风湿润气候,凤凰古城旅游区、矮寨·十八洞·德夯大峡谷景区、奇梁洞景区、乾州古城景区、芙蓉镇景区等,湘西土家族苗族自治州
1897.8 万[446]（2024年末常住人口）,7434.4 km²[14],31032.50 亿元[430]（2024年）,地级市,广州白云国际机场、穗港澳直升机机场,广州站、广州南站、广州东站、广州北站、广州白云站,亚热带季风气候,花城广场、广州塔、白云山,广州市
285.77 万[89]（截至2023年末常住人口）,18400 km²[48],1647.56 亿元[158]（2024年）,地级市[47],韶关丹霞机场[12],韶关站、韶关东站、丹霞山站、南雄站、始兴站[137],中亚热带湿润型季风气候区[49][163],丹霞山地质公园[17]、南华寺[42]、马坝人遗址[96]、云髻山[97],韶关市
1798.95 万[378]（2024年末常住人口）,1997.47 km²,36801.87 亿元[352]（2024年）,地级市,深圳宝安国际机场,深圳北站、深圳站、深圳东站、深圳西丽站、福田站、深圳坪山站、平湖站等,亚热带向热带过渡型海洋性气候[5],世界之窗、深圳欢乐谷、东部华侨城、大小梅沙、中英街、大鹏所城[6]、南头古城、深圳博物馆、欢乐港湾、甘坑客家小镇[287]、鹤湖新居[289],深圳市
249.41万 人[67]（截至2023年末）,1725 km²[49]（陆地面积）,4479.06 亿元[187]（2024年）,地级市[120],珠海金湾机场、珠海九洲机场、珠海莲洲通用机场[150],珠海站、珠海北站、横琴站、唐家湾站、明珠站、前山站、湾仔北站、湾仔站、十字门站、横琴北站，在建车站为井湾站、鹤洲南站、三灶东站、珠海机场站[112],南亚热带海洋性季风气候[84],圆明新园[42]、珠海罗西尼工业旅游点[121]、珠海市御温泉度假村景区[122]、东澳岛[43]、外伶仃岛[44],珠海市
579.34 万[132]（截至2023年末户籍总人口）,2199 km²[132],3167.97 亿元[221]（2024年）,地级市[137],揭阳潮汕国际机场[3],汕头站、汕头北站、潮阳站、汕头南站、潮南站[104][106-107],南亚热带海洋性季风气候[53],小公园开埠区旅游区[21]、中信度假村[59]、太安堂中医院博物馆[59]、礐石风景名胜区[59]、汕头市中海龙虎滩旅游区[19]、莲花峰风景区[59]、丹樱生态园景区[19]、莲华乡村旅游区[59]、南澳岛生态旅游区[59]、前美古村侨文化旅游区[59]、和平大峰风景区[19]、东华村潮乡旅游景区[19],汕头市
961.54 万（2023年末常住人口）,3797.72 km²,13361.90 亿元[223]（2024年）,地级市,佛山沙堤机场、佛山高明机场（规划）,佛山站、佛山西站、三水站、三水南站,亚热带季风气候,佛山祖庙、梁园、清晖园、长鹿旅游休博园、佛山岭南天地、南风古灶、西樵山风景名胜区,佛山市
482.26 万（截至2024年末常住人口）,9535 km²（陆地面积）,4210.18 亿元（2024年）,地级市,距珠三角枢纽（广州新）机场（规划建设）30分钟车程,江门站、江门东站、新会站、双水镇站、台山站、开平南站、恩平站,亚热带季风气候,开平碉楼、小鸟天堂、上下川岛、帝都温泉,江门市
707.84 万[1]（2023年末常住人口）,13300 km²[1],3839.93 亿元[186]（2024年）,地级市[130],湛江吴川机场、湛江新塘直升机场[137][181],湛江西站、湛江站、吴川站等[137],热带和亚热带季风气候[1],湖光岩[130]、观海长廊[130]、三元塔公园等[76],湛江市
625.23 万[66][113]（2023年常住人口）,11427.63 km²,4072.04 亿元[125]（2024年）,地级市,信宜通用机场（规划中）[127],茂名站，茂名西站，电白站，高州站，信宜站，化州站等,亚热带季风气候,中国第一滩、放鸡岛、浪漫海岸旅游度假区、茂名露天矿生态公园、茂名森林公园、御水古温泉、窦州古城、冼太夫人故里文化旅游区、广垦（茂名）国家热带农业公园、牙象大地艺术公园,茂名市
413.17 万（2023年常住人口）,14900 km²,2917.85 亿元（2024年）,地级市,珠三角枢纽（广州新）机场（规划建设中）,肇庆站、肇庆东站、广宁站、怀集站,南亚热带季风湿润型气候,星湖旅游景区[109]、六祖寺[50]、肇庆古城墙[52]、龙母祖庙、德庆盘龙峡,肇庆市
607.34 万[80]（截至2023年末常住人口）,11347 km²[4]（土地面积）,6136.39 亿元[192]（2024年）,地级市,惠州平潭机场[91],惠州北站、惠州站、惠阳站、惠州南站、博罗站、惠东站、仲恺站、罗浮山站、惠东南站、小金口站、博罗北站[159],亚热带季风气候[115],惠州西湖[13]、罗浮山[13]、平海古城[13]、南昆山[13]、叶挺将军纪念园[13]、东坡纪念馆[49]、水东街[50]、双月湾[51]、大亚湾黄金海岸[81]、大南山[197],惠州市
384.91 万（2023年末常住人口）,15876 km²[1],1508.18 亿元[627]（2024年）,地级市[341],梅州梅县机场（民航）、兴宁机场（军用）,梅州站（停运改造）、梅州西站、梅州东站、兴宁南站、兴宁站、五华站、丰顺东站、畲江北站、建桥站[631],亚热带季风气候,叶剑英纪念园、雁南飞茶田度假村、客天下旅游产业园、灵光寺、诗画梅江、中国客家博物馆、客都人家康养文旅综合体、万福寺、麓湖山文化产业园区、丰顺温泉、南台山、神光山、汤湖热矿泥山庄、五指石风景区、桥溪古韵、千佛塔、松口古镇、熙和湾、长潭旅游度假区、梅州古城、雁洋国际慢城旅游度假区、三河坝战役纪念园、张弼士故居旅游区、李光耀祖居旅游景区、雁鸣湖旅游度假村、南寿峰健康产业园、百侯名镇旅游区、韩山历史文化生态区、球王故里文化旅游区,梅州市
352.71 万[137]（2024年末户籍人口）,4865.05 km²[14],1500.89 亿元[12]（2024年）,地级市[62],航空出行主要依托相邻城市机场,汕尾站、陆丰站、深汕站、鲘门站、陆丰东站、陆丰南站[28][64-65],南亚热带季风气候[14],凤山祖庙、莲花山、玄武山、红海湾、红宫红场、金町湾旅游区、海丰莲花山度假区、铜鼎山旅 游区、金厢滨海红色旅游区、观音岭[7],汕尾市
283.70 万（截至2024年末常住人口）,15653.63 km²[12],1407.72 亿元（2024年）,地级市[13],、东江航道等“水陆空铁”立体交通一体化体系规划建设,河源站、河源东站、河源北站、龙川站、龙川西站、和平站、和平北站[42],南亚热带季风气候[14],河源市万绿湖风景区[55]、客天下温泉小镇、河源佗城、春沐源小镇、巴伐利亚庄园、东江画廊风景区、热龙温泉度假村、霍山旅游风景区、林寨古村、九连山桃花观赏景区,河源市
262.47 万[54]（截至2023年末常住人口）,7966.8 km²[53]（土地面积）,1629.58 亿元[198]（2024年）,地级市[39],阳江合山机场、阳江机场[67][193],阳江站、阳江北站、阳春站、阳东站、阳西站等[64-65],亚热带气候[27],海陵岛、鸳鸯湖、东湖星岛、凌霄岩、鸡笼顶、漠阳湖公园、南恩路历史文化街区,阳江市
398.9 万（2024年末常住人口）,19000 km²[1],2253.07 亿元[152]（2024年）,地级市[1],清远英德、清远佛冈、清远阳山[45]（还未建成）,清远站（高铁站）[42]、洲心站[43]、英德西站、英德站[44]等,中亚热带和南亚热带季风气候[2],连州地下河、天子山风景区[65-66],清远市
1057.08 万（2024年末常住人口）,2460.38 km²（78.5平方千米（海域面积））,12282.15 亿元（2024年）,地级市,连成一体,东莞站、东莞西站、东莞东站、虎门站、东莞南站、东莞滨海湾站、常平站、常平东站、东莞港站,亚热带季风气候,粤晖园、虎门炮台、袁崇焕纪念园、松山湖、可园,东莞市
445.82 万[17]（2023年末常住人口）,1783.85 km²[8],4143.25 亿元[212]（2024年）,地级市[122],用地、港口码头用地,中山站、中山北站、小榄站、古镇站、南头站、南朗站[127-132],亚热带季风气候[9],孙中山故里旅游区[40]、中山詹园[40]、中山市博物馆[40]、孙文纪念公园[42],中山市
275.4 万[21]（截至2024年3月）,3693 km²[21],1402.83 亿元[241]（2024年）,地级市[18],揭阳潮汕国际机场[105],高铁站2个（潮汕站、饶平站），普铁站2个（潮州站、潮安站）[105],亚热带海洋性季风气候[20],广济桥 （全国重点文物）[136]、许驸马府（全国重点文物）[136]、开元寺（全国重点文物）[136]、己略黄公祠（全国重点文物）[136]、笔架山潮州窑遗址（全国重点文物）[136]、韩文公祠 （全国重点文物）[136]、从熙公祠 （全国重点文物）[136]、道韵楼 （全国重点文物）[136]、潮州老城古民居建筑群 （全国重点文物）[136]、淡浮收藏院景区	（国家4A级）[86]、绿太阳景区（国家4A级）[86]、绿岛旅游山庄景区（国家4A级）[86]、紫莲森林度假村景区（国家4A级）[86]、东山湖度假村景区（国家4A级）[86]、凤凰天池景区（国家3A级）[86]、百师园创意馆旅游区（国家3A级）[86]、凤翔峡旅游景区（国家3A级）[86]、西湖公园景区（国家3A级）[86]、石壁山风景区（国家3A级）[86]、展翠佛手果文旅生态园（国家3A级）[86],潮州市
565.36 万[23]（2023年末常住人口）,5240 km²[1]（陆地面积）,2529.70 亿元[113]（2024年）,地级市[1],揭阳潮汕国际机场[28],揭阳站、揭阳机场站、普宁站、葵潭站[4][30],南亚热带季风性湿润气候[42],榕城揭阳学宫（全国重点文物）[8]、榕城榕江大型音乐喷泉（国内最高最长的江上音乐喷泉）[8]、榕城丁氏光禄公祠（全国重点文物）[8]、揭东望天湖生态农业休闲旅游区（国家4A级）[8]、揭东阳美玉都（中国玉都）（国家4A级）[8]、揭东万竹园生态旅游景区[8]、揭东望天湖生态农业休闲旅游区（国家4A级）[8]、揭西三山国王祖庙（海峡两岸交流基地）[105]、揭西粗坑村（“广东最美丽乡村”）[8]、揭西京明温泉度假村（国家4A级）[8]、揭西石内河漂流（地质科研的宝库）[8]、揭西黄满寨瀑布群（国家4A级）[8]、普宁南岩古寺（“东方玉佛国”）[8]、普宁百二坵田旅游景区（国家3A级）[8]、惠来海滨度假村（国家3A级）[8]、惠来八国风情旅游度假区[8],揭阳市
239.66 万[54]（截至2023年末常住人口）,7785.16 km²[1],1309.19 亿元[158]（2024年）,地级市[1],云浮罗定机场[86],云浮东站，南江口站，郁南站，新兴南站，云浮站，罗定北站[87]（均为高铁站）,亚热带季风气候[96],六祖故里旅游度假区[89]、长岗坡渡槽、水东明清古村落、云安湾边村沙滩[165]、郁南兰寨,云浮市
897.19 万（2024年末常住人口）,22100 km²,5995.36 亿元（2024年）,地级市,南宁吴圩国际机场、南宁伶俐通用机场[63],南宁东站、南宁站、南宁西站、吴圩机场站、南宁北站等,亚热带季风气候,青秀山、花花大世界、龙门水都景区、伊岭岩、中山路、大明山、中华茉莉园、九曲湾温泉、美丽南方休闲旅游区等,南宁市
415.35 万[85]（2023年末常住人口）,18596 km²,2950.67 亿元[99]（2024年）,地级市,柳州白莲机场,柳州站、柳州北站、柳州南站,亚热带季风气候,大龙潭风景区、柳侯公园、百里柳江旅游景区、卡乐星球、柳州螺蛳粉博物馆,柳州市
493.84 万[101]（2024年末常住人口）,27800 km²,2517.39 亿元[84]（2024年）,地级市,桂林两江国际机场,桂林站、桂林北站、桂林西站、五通站、永福南站、兴安北站、全州南站、阳朔站、恭城站等,亚热带季风气候,漓江、灵渠、象鼻山、东西巷、靖江王城、桂海晴岚、大圩古镇、李宗仁官邸、桂海碑林博物馆、广西省立艺术馆、芦笛岩、印象·刘三姐、甑皮岩遗址、桂林博物馆、靖江王陵、龙脊梯田、桂林穿山景区、会仙湿地、猫儿山、相公山、桂林融创国际旅游度假区,桂林市
283.3 万[36]（2023年末常住人口）,12588 km²[115],1622.49 亿元[146]（2024年）,地级市[84],梧州西江机场[5],梧州站，梧州南站，藤县站[41][118],亚热带季风气候[59],骑楼城[82]、龙母庙[86]、中山纪念堂[87]、苍海湖旅游区[88]、石表山风景区[89]、李济深故居[90],梧州市
188.84 万（2023年底常住人口）,3337 km²,1888.04 亿元（2024年）,地级市,北海福成机场,北海站、合浦站,亚热带海洋性季风气候,北海银滩、涠洲岛、北海老街、星岛湖旅游区、广西山口红树林生态自然保护区,北海市
105 万[9]（截至2023年9月常住人口）,6242.94 km²[110],1167.55 亿元[163]（2024年）,地级市[118],防城港四和机场（筹建）[114],防城港站、东兴市站、茅岭站等[84][85],南亚热带海洋性季风气候[32],白浪滩、十万大山国家森林公园、北部湾海洋文化公园等[55],防城港市
333.23 万（2024年末常住人口）,10897 km²,1878.96 亿元（2024年）,地级市,,钦州站、钦州东站[2],亚热带向热带过渡性质的海洋季风气候,三娘湾、八寨沟,钦州市
430.88 万（2023年末常住人口）,10602 km²,1565.59 亿元[50]（2024年）,地级市,仍处于前期工作阶段,贵港站,亚热带季风气候,南山寺，平天山，龙凤石林，九凌湖，桂平西山，贵港东湖公园等,贵港市
580.42 万（2024年末常住人口）,12800 km²,2346.78 亿元（2024年）,地级市,玉林福绵机场,玉林站、玉林北站,亚热带季风气候,云天文化城、谢鲁山庄、真武阁、铜石岭风景区等,玉林市
421.88 万[47]（2023年末户籍人口）,36300 km²,2004.73 亿元[57]（2024年）,地级市,百色巴马机场,百色站、百色东站,亚热带季风气候,百色起义纪念公园、澄碧湖,百色市
201.05 万[22]（2023年末常住人口）,11753 km²[26],964.42 亿元[143]（2024年）,地级市[83],,贺州站、富川站、钟山站[51][54],亚热带季风气候[27],姑婆山、十八水原生态景区、大桂山国家森林公园、玉石林景区等[64],贺州市
335.36 万（2023年末常住人口）,33500 km²,1404.15 亿元[79]（2024年）,地级市,河池金城江机场,宜州站、金城江站、河池西站,亚热带季风气候,世界遗产地——环江、宜州下枧河、南丹温泉、六甲小三峡,河池市
205.11 万（2023年末常住人口）,13400 km²[30],1030.42 亿元[76]（2024年）,地级市,,来宾站、来宾北站,亚热带季风气候,莫氏土司衙署，大瑶山国家森林公园,来宾市
249.65 万[69]（2023年末户籍人口）,17300 km²[1],1312.86 亿元[80]（2024年）,地级市,至隆安高速公路建成通车,崇左站、崇左南站、扶绥站、扶绥南站、宁明站、凭祥站等,亚热带季风气候,花山岩画、德天瀑布、友谊关、边关古炮台、石景林,崇左市
303.14 万（2024年末常住人口）,3126.82 km²,2470.63 亿元（2024年）,地级市,海口美兰国际机场,海口站、海口东站,热带季风气候,环球100、火山口公园、冯小刚电影公社、海口骑楼老街、假日海滩,海口市
785001 人（截至2024年末户籍人口）,1921 km²（陆地面积）,1004.70 亿元（2024年）,地级市,三亚凤凰国际机场、三亚天涯直升机场[66],三亚站、亚龙湾站、崖州站、凤凰机场站、天涯海角站、南山北站、红塘湾站、崖州西站、中心渔港站、海棠湾站,热带海洋性季风气候,亚龙湾、三亚湾、天涯海角、南山、大小洞天、大东海、鹿回头、西岛、蜈支洲岛、海棠湾、凤凰岛,三亚市
2200 人（2021年末常住人口）,约 2000000 km²（陆海面积）,,地级市,三沙永兴机场、永暑岛机场、美济岛机场、渚碧岛机场,,热带海洋性季风气候,西沙海洋博物馆、石岛、收复西沙纪念碑,三沙市
101.84 万（2024年常住人口）,3398 km²[16]（陆地面积）,1012.72 亿元（2024年）,地级市[16],儋州西庆通用航空机场、金林儋州和庆通用机场[50],海头站、白马井站、银滩站[46-47],热带湿润季风气候[17],东坡书院[23]、蓝洋温泉[28]、儋阳楼[36],儋州市
3190.47 万[258]（2024年末常住人口）,82402 km²,32193.15 亿元[258]（2024年）,直辖市,重庆江北国际机场、万州五桥机场、黔江武陵山机场、重庆巫山机场、重庆仙女山机场、重庆梁平机场[117],重庆北站、重庆西站、重庆站、沙坪坝站、万州北站、荣昌北站、重庆东站（在建）等,亚热带季风性湿润气候,洪崖洞、大足石刻、武隆喀斯特旅游区、长江三峡、解放碑、朝天门、歌乐山、磁器口古镇、长江索道、金佛山,重庆市
2147.4 万[366]（2024年末常住人口）,14335 km²,23511.3 亿元[353]（2024年）,地级市,成都双流国际机场、成都天府国际机场、成都淮州机场[143],成都站、成都东站、成都南站、成都西站、天府站[225],亚热带季风气候[23],都江堰、青城山、杜甫草堂、武侯祠、金沙遗址、青羊宫、大熊猫繁育研究基地[150]、宽窄巷子[151]、春熙路[152]、安仁古镇[234]、成都远洋太古里、锦里,成都市
241.1 万（2024年末常住人口）,4381 km²,1876.24 亿元（2024年）,地级市,自贡凤鸣通用机场、自贡兰田机场[72],自贡站、富顺站、沿滩站、自贡北站[56],亚热带季风气候,富顺文庙、荣县大佛、自贡恐龙博物馆、中华彩灯大世界、自贡市盐业历史博物馆、崖堑沟瀑布、自贡方特恐龙王国、江姐故里红色教育基地等,自贡市
121.8 万[62]（2023年末常住人口）,7440 km²,1395.24 亿元[74]（2024年）,地级市,攀枝花保安营机场,攀枝花站、米易站、桐子林站、攀枝花南站、米易东站,亚热带季风性湿润气候,攀西大裂谷、格萨拉、二滩、红格温泉、颛顼龙洞、花舞人间、普达,攀枝花市
503.82 万[83]（2022年户籍人口）,12232.34 km²,2836.5 亿元[151]（2024年）,地级市,泸州云龙机场,泸州站、泸州港站、泸州东站,亚热带季风性湿润气候,张坝桂圆林公园、泸州方山旅游区、四川福宝国家森林公园、太平古镇、泸州市凤凰湖旅游景区、蒋兆和故居、泸州老窖旅游区,泸州市
345.3 万（2023年常住人口）,5911 km²,3265.4 亿元[106]（2024年）,地级市,广汉机场，什邡机场（什邡通用机场）[53],德阳站、德阳南站、罗江东站、广汉北站、什邡西站、绵竹南站、三星堆站[54-55],亚热带季风性湿润气候,德阳孔庙、德阳石刻、三星堆、蓥华山、九顶山、落凤坡等,德阳市
491.10 万[218]（2023年常住人口）,20200 km²,4344.0 亿元[232]（2024年）,地级市,绵阳南郊机场,绵阳站、江油站、青莲站、江油北站、安州站,亚热带山地湿润季风气候,越王楼、李白故里、七曲山、报恩寺,绵阳市
224.9 万（2023年末常住人口）,16319 km²,1279.33 亿元[81]（2024年）,地级市,广元盘龙机场,广元站、广元南站、广元西站、广元东站、青川站、剑门关站、姚渡站、羊木站、朝天南站、朝天站,亚热带湿润季风气候,剑门关、昭化古城、青溪古城、千佛崖、明月峡、七里峡、唐家河,广元市
351.06 万[133]（2024年末户籍人口）,5322.25 km²[95],1870.26 亿元[133]（2024年）,地级市,遂宁安居机场,遂宁站、遂宁南站、大英东站、蓬溪站、遂宁西站[3],亚热带湿润季风气候,灵泉寺、广德寺、中国死海、宋瓷博物馆、赤城湖、观音湖生态湿地公园[62],遂宁市
396.70 万[88]（2023年末户籍人口）,5384.8 km²[63],1942.57 亿元[115]（2024年）,地级市,内江机场（筹备建设阶段）,内江站、内江北站、白马北站、内江东站、威远站、资中北站、隆昌北站,亚热带季风性湿润气候,大千园、隆昌石牌坊、资中文庙、威远穹窿地貌景区,内江市
314.7 万（2023年常住人口）,12720.03 km²,2532.5 亿元[114]（2024年）,地级市,乐山机场（在建）,乐山站、沙湾南站、夹江站、峨眉站、峨眉山站、犍为站、金口河南站、峨边南站、乐山港站等,亚热带季风气候,乐山大佛、峨眉山、东风堰、夜游三江、嘉阳桫椤湖景区、黑竹沟、金口河大峡谷、苏稽古镇、郭沫若故居、罗城古镇,乐山市
551.1 万（2023年末常住人口）,12500 km²,2861.68 亿元[87]（2024年）,地级市,南充高坪机场、南充阆中机场,南充站、南充北站、南充东站、南充西站、南充南站、南部站、阆中站、仪陇站、龙桂站,亚热带季风性湿润气候,凌云山、太蓬山、阆中古城、朱德故居、张澜故居、升钟湖、五星花园、嘉陵江、西山,南充市
336.18 万[132]（2024年末户籍总人口）,7140 km²,1890.05 亿元[132]（2024年）,地级市,眉山洪雅通用机场[130]（在建）,眉山站、眉山东站、彭山北站、青神站,亚热带季风性湿润气候,三苏祠、瓦屋山、黑龙滩、彭祖山、柳江古镇,眉山市
462.8 万[111]（2023年末常住人口）,13283 km²,4005.76 亿元[112]（2024年）,地级市,宜宾五粮液机场,南溪站、南溪北站、宜宾站、宜宾西站、宜宾东站、宜宾北站、长宁站、兴文站、屏山站、泥溪站等,亚热带季风性湿润气候,蜀南竹海、石海洞乡、李庄古镇、七洞沟旅游景区,宜宾市
322.7 万（2024年末常住人口）,6339 km²,1615.5 亿元（2024年）,地级市,广安民用机场（拟建）[83],广安站、广安南站、广安东站、岳池站、华蓥站、武胜站、高兴站,亚热带湿润季风气候,邓小平故里、华蓥山、宝箴塞、天意谷,广安市
532.4 万（2023年末常住人口）,16605 km²[67],2801.6 亿元[75]（2024年）,地级市,达州河市机场、达州金垭机场,达州站、达州南站（在建）,亚热带季风气候,真佛山、巴山大峡谷、賨人谷、列宁街、罗家坝遗址、渠县汉阙、仙女山、莲花湖,达州市
143.3 万（2024年末常住人口）,15046 km²,1082.98 亿元（2024年）,地级市,10,雅安站、名山站、汉源站[50],亚热带季风性湿润气候,蒙顶山、碧峰峡、上里古镇、夹金山、二郎山等,雅安市
261.30 万[184]（2024年常住人口）,12292 km²,870.51 亿元[180]（2024年）,地级市,巴中恩阳机场,巴中站、巴中东站、平昌站、巴中西站,亚热带季风性湿润气候,光雾山风景区、诺水河、恩阳古镇、将帅碑林、南龛石窟、川陕革命根据地烈士陵园、川陕革命根据地博物馆、白衣古镇、晏阳初博物馆、驷马水乡、巴灵台、化湖旅游度假区、云顶茶乡、天马山国家森林公园,巴中市
221.8 万（2024年末常住人口）,5747.54 km²,1090.0 亿元（2024年）,地级市,仅18公里,资阳站、资阳北站、资阳西站,亚热带季风性湿润气候,陈毅故里景区、安岳石刻、乐至报国寺,资阳市
82.5 万[95]（截止2023年末）,84242 km²[9],570.11 亿元[132]（2024年）,自治州,九寨沟黄龙机场、阿坝红原机场,镇江关站、松潘站[19][126],亚热带、温带、寒温带、寒带[55],九寨沟[116]、黄龙[116]、四姑娘山[116],阿坝藏族羌族自治州
110.74 万[11]（2024年常住人口）,149700 km²[11]（截至2024年）,580.52 亿元[218]（2024年）,自治州[12],甘孜康定机场、稻城亚丁机场、甘孜格萨尔机场[8],康定站[179]（正在修建）,大陆性高原山地型季风气候[184],海螺沟冰川森林公园[36]、稻城亚丁景区[36]、康定情歌（木格措）风景区[36]、八美墨石公园景区[36]、木雅圣地景区[36],甘孜藏族自治州
490.6 万（2023年常住人口）,约 60400 km²,2474.90 亿元[151]（2024年）,自治州[1],西昌青山机场,西昌站、西昌西站、甘洛站、普雄站等,亚热带季风气候[96],邛海、泸沽湖,凉山彝族自治州
660.25 万（2024年末常住人口）,8043 km²[24],5777.41 亿元（2024年）,地级市[7],贵阳龙洞堡国际机场[102],贵阳站、贵阳北站、贵阳东站，龙洞堡站、贵安站等[15],亚热带湿润气候[120],黔灵山公园[43]、甲秀楼[41]、青岩古镇[39]、红枫湖[37],贵阳市
303.7 万（2024年末常住人口）,约 9914.59 km²,1710.59 亿元（2024年）,地级市,六盘水月照机场、盘州官山机场,六盘水站、六盘水东站、六盘水南站,亚热带湿润季风气候,玉舍国家森林公园、哒啦仙谷、乌蒙山国家地质公园、明湖国家湿地公园,六盘水市
649.45 万（2024年末常住人口）,30762 km²,5027.20 亿元（2024年）,地级市,遵义新舟机场、遵义茅台机场,遵义站、遵义西站、遵义南站,亚热带季风性湿润气候,遵义会议会址、赤水风景名胜区、海龙屯、赤水丹霞,遵义市
245.92 万（2023年底常住人口）,9267 km²,1186.11 亿元[79]（2024年）,地级市,安顺黄果树机场,安顺站、安顺西站、平坝南站、贵安站、关岭站、普定站、黄桶北站[83],亚热带季风气候,黄果树瀑布、龙宫、格凸河,安顺市
673.18 万[83]（截至2023年末常住人口）,26900 km²,2457.59 亿元[111]（2024年）,地级市,毕节飞雄机场,毕节站、织金北站、草海站、大方站、纳雍站、黔西站[3],亚热带季风气候,百里杜鹃、织金洞、草海、韭菜坪、贵州宣慰府,毕节市
321.37 万[61]（2023年常住人口）,18003 km²,1649.81 亿元[76]（2024年）,地级市,铜仁凤凰机场、铜仁德江机场[49],铜仁站、铜仁南站,亚热带季风气候,梵净山、石阡温泉、大明边城、苗王城、九龙洞、周逸群故居等,铜仁市
